INFO:simplemc:Using 6 processors of 8 .
Initalizing nu density look up table... Done
Loading  /Users/atalianb/Documents/Doctorado/SimpleMC_barotropic/simplemc/data/Blok_McGaugh_&_Rubin_(2001)/ESO3020120.dat
Free parameters and values currently accepted:
Anfw = -7.465973893943865 +/- 0.01
rs = 1.74 +/- 0.01
INFO:simplemc:
	nlivepoints: 100
	accuracy: 0.02
	nested type: multi

it: 0 | ncall: 101 | eff: 0.990 | logz: -15.4491 | dlogz: inf | loglstar: -10.1408 | point -6.11089011  3.13622758
it: 1 | ncall: 102 | eff: 1.961 | logz: -14.2938 | dlogz: 14.9402 | loglstar: -9.9614 | point -6.27886138  3.8281852 
it: 2 | ncall: 103 | eff: 2.913 | logz: -13.6011 | dlogz: 13.7750 | loglstar: -9.4281 | point -6.12811781  2.79226289
it: 3 | ncall: 105 | eff: 3.810 | logz: -13.0884 | dlogz: 13.0723 | loglstar: -9.2907 | point -6.33110222  3.65312986
it: 4 | ncall: 107 | eff: 4.673 | logz: -12.6646 | dlogz: 12.5497 | loglstar: -8.8935 | point -6.46456298  4.87344753
it: 5 | ncall: 108 | eff: 5.556 | logz: -12.2517 | dlogz: 12.1159 | loglstar: -8.4888 | point -6.35297944  3.13697584
it: 6 | ncall: 109 | eff: 6.422 | logz: -11.9095 | dlogz: 11.6931 | loglstar: -8.4581 | point -6.42858026  3.75187995
it: 7 | ncall: 110 | eff: 7.273 | logz: -11.4683 | dlogz: 11.3410 | loglstar: -7.4257 | point -6.06205604  1.7412863 
it: 8 | ncall: 111 | eff: 8.108 | logz: -11.0384 | dlogz: 10.8898 | loglstar: -7.3654 | point -6.18798546  1.89224943
it: 9 | ncall: 112 | eff: 8.929 | logz: -10.7218 | dlogz: 10.4499 | loglstar: -7.2797 | point -6.38289111  2.39493412
it: 10 | ncall: 113 | eff: 9.735 | logz: -10.4537 | dlogz: 10.1235 | loglstar: -7.1012 | point -6.44633136  2.59316708
it: 11 | ncall: 114 | eff: 10.526 | logz: -10.1909 | dlogz: 9.8454 | loglstar: -6.7861 | point -6.47424571  2.50395353
it: 12 | ncall: 115 | eff: 11.304 | logz: -9.8720 | dlogz: 9.5727 | loglstar: -6.1764 | point -6.38290494  1.71835872
it: 13 | ncall: 116 | eff: 12.069 | logz: -9.4893 | dlogz: 9.2439 | loglstar: -5.6684 | point -6.00621303  1.09405   
it: 14 | ncall: 117 | eff: 12.821 | logz: -9.1522 | dlogz: 8.8512 | loglstar: -5.6304 | point -6.64087519  2.71164328
it: 15 | ncall: 118 | eff: 13.559 | logz: -8.8922 | dlogz: 8.5043 | loglstar: -5.5742 | point -6.55159912  1.93042254
it: 16 | ncall: 119 | eff: 14.286 | logz: -8.6678 | dlogz: 8.2344 | loglstar: -5.4270 | point -6.06163456  1.04774419
it: 17 | ncall: 120 | eff: 15.000 | logz: -8.4688 | dlogz: 8.0001 | loglstar: -5.3674 | point -6.71334732  3.57544205
it: 18 | ncall: 121 | eff: 15.702 | logz: -8.2701 | dlogz: 7.7912 | loglstar: -5.0391 | point -6.71304161  2.7497167 
it: 19 | ncall: 122 | eff: 16.393 | logz: -8.0774 | dlogz: 7.5827 | loglstar: -4.9910 | point -6.12199002  0.94728529
it: 20 | ncall: 123 | eff: 17.073 | logz: -7.9087 | dlogz: 7.3802 | loglstar: -4.9246 | point -6.65359144  1.93791865
it: 21 | ncall: 124 | eff: 17.742 | logz: -7.7599 | dlogz: 7.2016 | loglstar: -4.9036 | point -6.65397614  1.91773361
it: 22 | ncall: 125 | eff: 18.400 | logz: -7.6126 | dlogz: 7.0429 | loglstar: -4.6472 | point -6.36263389  1.0014758 
it: 23 | ncall: 126 | eff: 19.048 | logz: -7.4695 | dlogz: 6.8859 | loglstar: -4.6332 | point -6.75348059  2.58629629
